mode,k,purity_threshold,min_labeled_per_cluster,pseudo_weight,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_cancer_mean,recall_cancer_mean,precision_cancer_mean,n_pseudo_mean,pseudo_cancer_mean,pseudo_normal_mean,mapped_clusters_mean,folds
both,20,0.95,2,0.02,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,613.0,425.6,187.4,8.6,5
both,20,0.95,2,0.05,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,613.0,425.6,187.4,8.6,5
both,20,0.95,2,0.1,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,613.0,425.6,187.4,8.6,5
both,20,0.95,2,0.2,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,613.0,425.6,187.4,8.6,5
both,20,0.95,3,0.01,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,486.4,303.4,183.0,6.2,5
both,20,0.95,3,0.02,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,486.4,303.4,183.0,6.2,5
both,20,0.95,3,0.05,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,486.4,303.4,183.0,6.2,5
both,20,0.95,3,0.1,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,486.4,303.4,183.0,6.2,5
both,20,0.95,3,0.2,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,486.4,303.4,183.0,6.2,5
both,20,0.95,5,0.01,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,0.95,5,0.02,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,0.95,5,0.05,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,0.95,5,0.1,0.93,0.0273861278752583,0.929722791828055,0.02759642938441301,0.931241740715425,0.9400000000000001,0.9284848484848485,287.6,117.2,170.4,3.4,5
both,20,0.95,5,0.2,0.9199999999999999,0.02738612787525829,0.9197478544846966,0.027505000774873358,0.9207655502392343,0.9199999999999999,0.9266666666666665,287.6,117.2,170.4,3.4,5
both,20,1.0,2,0.01,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,613.0,425.6,187.4,8.6,5
both,20,1.0,2,0.02,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,613.0,425.6,187.4,8.6,5
both,20,1.0,2,0.05,0.9400000000000001,0.02236067977499787,0.9398997493734337,0.022304637971050534,0.9398997493734335,0.9400000000000001,0.9436363636363636,613.0,425.6,187.4,8.6,5
both,20,1.0,2,0.1,0.93,0.027386127875258275,0.9299248120300753,0.027317490963290236,0.929423558897243,0.9199999999999999,0.9418181818181818,613.0,425.6,187.4,8.6,5
